consola,genero,lanzamiento,titulo,upc
NDS,Aventura,06/08/2011,LEGO BATTLES NINJAGO,883929189427-0-00000-0
NDS,Simulacion,06/08/2011,SESAME STREET READY SET GROVER,883929189663-0-00000-0
WII,Otros,06/08/2011,SESAME STREET READY SET GROVER,883929189410-0-00000-0
PS3,Musical,01/01/2006,DJ HERO 2 BUNDLE 3 PACK,047875962446-0-00000-0
360,Accion,13/03/2012,SILENT HILL DOWNPOUR,083717301240-0-00000-0
PS3,Accion,NO CONFIRMADO,SILENT HILL DOWNPOUR,083717202288-0-00000-0
PS3,Accion,NO CONFIRMADO,SAINTS ROW THE THIRD,752919992982-0-00000-0
360,Accion,NO CONFIRMADO,SAINTS ROW THE THIRD,752919553176-0-00000-0
360,Disparos,NO CONFIRMADO,GEARS OF WAR TRIPLE PACK,885370315073-0-00000-0
PS3,Accion,23/08/2011,DEUS EX HUMAN REVOLUTION AUGMENTED EDITION,662248910390-0-00000-0
360,Accion,23/08/2011,DEUS EX HUMAN REVOLUTION AUGMENTED EDITION,662248910383-0-00000-0
PS3,Rol/Estrategia/Destreza,29/07/2011,CATHERINE,730865001385-0-00000-0
360,Rol/Estrategia/Destreza,29/07/2011,CATHERINE,730865900053-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,CATHERINE ALTERNATE COVER,730865900060-0-00000-0
PS3,Disparos,NO CONFIRMADO,RESISTANCE 3,711719817628-0-00000-0
PS3,Disparos,06/09/2011,RESISTANCE 3 DOOMSDAY EDITION,711719983217-0-00000-0
360,Rol/Estrategia/Destreza,04/10/2011,DARK SOULS COLLECTORS EDITION,722674210591-0-00000-0
PS3,Rol/Estrategia/Destreza,04/10/2011,DARK SOULS COLLECTORS EDITION,722674110570-0-00000-0
PS3,Deportes,NO CONFIRMADO,HIGH VELOCITY BOWLING MOVE EDITION,711719826125-0-00000-0
3DS,Aventura,NO CONFIRMADO,PAC-MAN AND GALAGA DIMENSIONS,722674700313-0-00000-0
NDS,Accion,23/07/2011,GREEN LANTERN RISE OF THE MANHUNTERS,883929202102-0-00000-0
3DS,Accion,NO CONFIRMADO,GREEN LANTERN RISE OF THE MANHUNTERS,883929202881-0-00000-0
WII,Accion,NO CONFIRMADO,GREEN LANTERN RISE OF THE MANHUNTERS,883929200962-0-00000-0
PS3,Accion,NO CONFIRMADO,GREEN LANTERN RISE OF THE MANHUNTERS,883929200979-0-00000-0
360,Accion,NO CONFIRMADO,GREEN LANTERN RISE OF THE MANHUNTERS,883929200986-0-00000-0
360,Deportes,NO CONFIRMADO,UFC PERSONAL TRAINER,752919552391-0-00000-0
NDS,Aventura,23/07/2011,THE SMURFS,008888166558-0-00000-0
WII,Aventura,23/07/2011,THE SMURFS DANCE PARTY,008888176657-0-00000-0
WII,Accion,23/07/2011,CAPTAIN AMERICA SUPER SOLDIER,010086650464-0-00000-0
PS3,Accion,23/07/2011,CAPTAIN AMERICA SUPER SOLDIER,010086690507-0-00000-0
NDS,Accion,23/07/2011,CAPTAIN AMERICA SUPER SOLDIER,010086670394-0-00000-0
360,Accion,23/07/2011,CAPTAIN AMERICA SUPER SOLDIER,010086680522-0-00000-0
360,Accion,18/10/2011,BATMAN ARKHAM CITY COLLECTORS EDITION,883929213146-0-00000-0
PS3,Accion,18/10/2011,BATMAN ARKHAM CITY COLLECTORS EDITION,883929213122-0-00000-0
PS3,Accion,NO CONFIRMADO,WARHAMMER 40000 SPACE MARINE,752919991367-0-00000-0
360,Accion,06/09/2011,WARHAMMER 40000 SPACE MARINE,752919551462-0-00000-0
NDS,Aventura,16/07/2011,BEN 10 TRIPLE PACK,879278320277-0-00000-0
PS3,Deportes,NO CONFIRMADO,NCAA FOOTBALL 12,014633195361-0-00000-0
360,Deportes,16/07/2011,NCAA FOOTBALL 12,014633195378-0-00000-0
WII,Accion,16/07/2011,HARRY POTTER AND THE DEATHLY HALLOWS PART 2,014633195989-0-00000-0
PS3,Accion,NO CONFIRMADO,HARRY POTTER AND THE DEATHLY HALLOWS PART 2,014633196009-0-00000-0
NDS,Accion,16/07/2011,HARRY POTTER AND THE DEATHLY HALLOWS PART 2,014633195972-0-00000-0
360,Accion,NO CONFIRMADO,HARRY POTTER AND THE DEATHLY HALLOWS PART 2,014633196016-0-00000-0
360,Vehiculos,10/10/2011,FORZA MOTORSPORT 4 COLLECTORS EDITION,885370308143-0-00000-0
PS3,Accion,NO CONFIRMADO,SHADOWS OF THE DAMNED,014633098938-0-00000-0
360,Accion,NO CONFIRMADO,SHADOWS OF THE DAMNED,014633098945-0-00000-0
360,Deportes,27/09/2011,PRO EVOLUTION SOCCER 2012,083717301264-0-00000-0
PS3,Deportes,NO CONFIRMADO,PRO EVOLUTION SOCCER 2012,083717202301-0-00000-0
PCS,Disparos,02/07/2011,FEAR 3,883929127061-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,DUNGEON SIEGE 3,662248910277-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,DUNGEON SIEGE 3,662248910260-0-00000-0
PS3,Peleas,NO CONFIRMADO,SUPER STREET FIGHTER IV ARCADE EDITION,013388340576-0-00000-0
360,Peleas,28/06/2011,SUPER STREET FIGHTER IV ARCADE EDITION,013388330577-1-00000-0
3DS,Disparos,NO CONFIRMADO,RESIDENT EVIL THE MERCENARIES,013388305018-1-00000-0
PS3,Aventura,NO CONFIRMADO,ICO AND SHADOW OF THE COLOSSUS COLLECTION,711719825920-0-00000-0
360,Accion,15/11/2011,ASSASSINS CREED REVELATIONS SIGNATURE EDITON,008888596844-0-00000-0
PS3,Accion,15/11/2011,ASSASSINS CREED REVELATIONS SIGNATURE EDITON,008888396840-0-00000-0
360,Disparos,NO CONFIRMADO,FEAR 3,883929198276-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,HUNTED THE DEMONS FORGE,093155117419-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,HUNTED THE DEMONS FORGE,093155117396-0-00000-0
WII,Rol/Estrategia/Destreza,01/01/2006,MYSTERY CASE FILE THE MAL,045496902445-0-00000-0
WII,Musical,25/02/2012,WII PLAY MOTION,045496902353-0-00000-0
WII,Vehiculos,24/06/2011,CARS 2 THE VIDEO GAME,7509656070540-0-00000-0
PS3,Vehiculos,24/06/2011,CARS 2 THE VIDEO GAME,7509656070526-0-00000-0
NDS,Vehiculos,24/06/2011,CARS 2 THE VIDEO GAME,7509656070519-0-00000-0
360,Vehiculos,24/06/2011,CARS 2 THE VIDEO GAME,7509656070557-0-00000-0
PS3,Disparos,NO CONFIRMADO,DEAD ISLAND GREATEST HITS,895678002490-0-00000-0
360,Disparos,NO CONFIRMADO,DEAD ISLAND,895678002483-0-00000-0
3DS,Accion,NO CONFIRMADO,TRANSFORMERS DARK OF THE MOON STEALTH EDITION,047875841444-0-00000-0
PCS,Rol/Estrategia/Destreza,17/06/2011,WARCRAFT III FROZEN THRONE,020626862660-0-00000-0
PCS,Rol/Estrategia/Destreza,17/06/2011,WARCRAFT III REIGN OF CHAOS,020626862646-0-00000-0
PCS,Rol/Estrategia/Destreza,17/06/2011,STARCRAFT ANTHOLOGY,020626862721-0-00000-0
PCS,Rol/Estrategia/Destreza,17/06/2011,DIABLO II LORD OF DESTRUCTION,020626862707-0-00000-0
PCS,Rol/Estrategia/Destreza,17/06/2011,DIABLO II,020626862684-0-00000-0
PS3,Accion,17/06/2011,ALICE MADNESS RETURNS,014633098587-1-00001-2
360,Accion,17/06/2011,ALICE MADNESS RETURNS,014633098594-1-00001-1
WII,Accion,NO CONFIRMADO,TRANSFORMERS DARK OF THE MOON STEALTH EDITION,047875841604-0-00000-0
PS3,Accion,17/06/2011,TRANSFORMERS DARK OF THE MOON,047875841369-0-00000-0
NDS,Accion,17/06/2011,TRANSFORMERS DARK OF THE MOON DECEPTICONS,047875841642-0-00000-0
NDS,Accion,17/06/2011,TRANSFORMERS DARK OF THE MOON AUTOBOTS,047875841628-0-00000-0
3DS,Aventura,NO CONFIRMADO,THE LEGEND OF ZELDA OCARINA OF TIME 3D,045496741556-1-00000-0
3DS,Peleas,NO CONFIRMADO,CARTOON NETWORK PUNCH TIME EXPLOSION,650008500936-0-00000-0
3DS,Aventura,14/06/2011,CUBIC NINJA,008888166863-0-00000-0
360,Disparos,NO CONFIRMADO,CHILD OF EDEN,008888526391-0-00000-0
360,Disparos,NO CONFIRMADO,HALO COMBAT EVOLVED ANNIVERSARY,885370314663-1-000-1-1
360,Vehiculos,NO CONFIRMADO,FORZA MOTORSPORT 4,885370308105-0-00000-0
PS3,Rol/Estrategia/Destreza,02/08/2011,CATHERINE LOVE IS OVER DELUXE EDITION,730865001408-0-00000-0
360,Rol/Estrategia/Destreza,29/07/2011,CATHERINE LOVE IS OVER DELUXE EDITION,730865900077-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,WIPEOUT IN THE ZONE KINECT,047875765542-0-00000-0
360,Accion,18/10/2011,BATMAN ARKHAM CITY,883929212293-0-00000-0
3DS,Peleas,28/05/2011,DEAD OR ALIVE DIMENSIONS,040198002141-0-00000-0
3DS,Aventura,NO CONFIRMADO,SPONGEBOB SQUIGGLEPANTS 3D,785138330525-0-00000-0
NDS,Aventura,28/05/2011,KUNG FU PANDA 2,785138364667-0-00000-0
WII,Aventura,28/05/2011,KUNG FU PANDA 2,785138304755-0-00000-0
PS3,Aventura,NO CONFIRMADO,KUNG FU PANDA 2,752919992869-0-00000-0
360,Aventura,NO CONFIRMADO,KUNG FU PANDA 2,752919553060-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,XBOX LIVE HITS COLLECTION,885370312928-0-00000-0
3DS,Disparos,21/05/2011,DREAM TRIGGER,879278360006-0-00000-0
PS3,Disparos,08/11/2011,CALL OF DUTY MODERN WARFARE 3,047875842052-0-00000-0
360,Disparos,08/11/2011,CALL OF DUTY MODERN WARFARE 3,047875842069-0-00000-0
WII,Aventura,NO CONFIRMADO,LEGO PIRATES OF THE CARIBBEAN,7509656070496-0-00000-0
PSP,Aventura,20/05/2011,LEGO PIRATES OF THE CARIBBEAN,7509656070489-0-00000-0
PS3,Aventura,NO CONFIRMADO,LEGO PIRATES OF THE CARIBBEAN,7509656070472-0-00000-0
NDS,Aventura,20/05/2011,LEGO PIRATES OF THE CARIBBEAN,7509656070465-0-00000-0
3DS,Aventura,NO CONFIRMADO,LEGO PIRATES OF THE CARIBBEAN,7509656070618-0-00000-0
360,Aventura,NO CONFIRMADO,LEGO PIRATES OF THE CARIBBEAN,7509656070502-0-00000-0
PS3,Rol/Estrategia/Destreza,15/05/2011,BRINK,093155117082-0-00000-0
360,Rol/Estrategia/Destreza,15/05/2011,BRINK,093155117075-0-00000-0
PS3,Accion,07/06/2011,INFAMOUS 2,711719829324-1-00000-1
PS3,Deportes,NO CONFIRMADO,VIRTUA TENNIS 4,010086690514-0-00000-0
360,Deportes,NO CONFIRMADO,VIRTUA TENNIS 4,010086680539-0-00000-0
PS3,Disparos,19/07/2011,CALL OF JUAREZ THE CARTEL,008888346838-0-00000-0
360,Disparos,19/07/2011,CALL OF JUAREZ THE CARTEL,008888526834-0-00000-0
NDS,Rol/Estrategia/Destreza,08/05/2011,YU-GI-OH WC 2011 OVER NEXUS,083717241898-0-00000-0
NDS,Rol/Estrategia/Destreza,08/05/2011,NARABA PALACIO MISTERIOSO,843603500834-0-00000-0
NDS,Rol/Estrategia/Destreza,08/05/2011,NARABA LABERINTO DE LA LUZ,843603825084-0-00000-0
PCS,Accion,07/05/2011,DARKSPORE,014633195088-0-00000-0
WII,Accion,NO CONFIRMADO,THOR GOD OF THUNDER,010086650457-0-00000-0
PS3,Accion,NO CONFIRMADO,THOR GOD OF THUNDER,010086690491-0-00000-0
NDS,Accion,03/05/2011,THOR GOD OF THUNDER,010086670387-0-00000-0
360,Accion,NO CONFIRMADO,THOR GOD OF THUNDER,010086680515-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,MOTORSTORM APOCALYPSE,711719824220-0-00000-0
PCS,Rol/Estrategia/Destreza,29/04/2011,PORTAL 2,014633098808-0-00000-0
PSP,Rol/Estrategia/Destreza,29/04/2011,PATAPON 3,711719875123-0-00000-0
WII,Disparos,22/04/2011,CONDUIT 2,010086650433-0-00000-0
PSP,Rol/Estrategia/Destreza,22/04/2011,FINAL FANTASY IV COMPLETE COLLECTION,662248910451-0-00000-0
PS3,Deportes,NO CONFIRMADO,MLB 11 THE SHOW,711719825128-0-00000-0
360,Rol/Estrategia/Destreza,19/04/2011,DIVINITY II THE DRAGON KNIGHT,730865900046-0-00000-0
WII,Musical,19/04/2011,KARAOKE REVOLUTION GLEE,083717401148-0-00000-0
360,Musical,19/04/2011,DANCE DANCE REVOLUTION BUNDLE,083717251255-0-00000-0
PS3,Accion,NO CONFIRMADO,PRINCE OF PERSIA TRILOGY,008888346791-0-00000-0
PCS,Vehiculos,19/04/2011,SHIFT 2 UNLEASHED,014633194838-0-00000-0
3DS,Disparos,NO CONFIRMADO,TOM CLANCYS SPLINTER CELL 3D,008888166757-0-00000-0
3DS,Musical,NO CONFIRMADO,RABBIDS TRAVEL IN TIME 3D,008888166733-0-00000-0
360,Musical,08/03/2011,CARNIVAL GAMES MONKEY SEE MONKEY DO,710425399985-0-00000-0
WII,Deportes,NO CONFIRMADO,WWE ALL-STARS,785138303963-0-00000-0
PS3,Deportes,NO CONFIRMADO,WWE ALL-STARS,752919992272-0-00000-0
360,Deportes,NO CONFIRMADO,WWE ALL-STARS,752919552483-0-00000-0
PSP,Deportes,08/03/2011,WWE ALL-STARS,752919481769-0-00000-0
PCS,Accion,08/04/2011,ASSASSINS CREED BROTHERHOOD,008888686255-0-00000-0
PS3,Deportes,08/04/2011,TONY HAWK SHRED BUNDLE,047875839243-0-00000-0
360,Deportes,08/04/2011,TONY HAWK SHRED BUNDLE,047875839267-0-00000-0
WII,Musical,NO CONFIRMADO,KARAOKE REVOLUTION GLEE VOLUME 2,083717401216-0-00000-0
WII,Musical,08/04/2011,KARAOKE REVOLUTION GLEE VOLUME 2 BUNDLE,083717251288-0-00000-0
NDS,Aventura,08/04/2011,SQUINKIES,047875765481-0-00000-0
PSP,Rol/Estrategia/Destreza,08/04/2011,THE 3RD BIRTHDAY,662248910352-0-00000-0
PS3,Accion,02/04/2011,YAKUZA 4,010086690439-0-00000-0
PCS,Simulacion,02/04/2011,SIMS 3 BARNACLE BAY,014633196740-0-00000-0
PS3,Aventura,02/04/2011,PLAYSTATION HEROES MOVE,711719824824-0-00000-0
3DS,Peleas,NO CONFIRMADO,SAMURAI WARRIORS CHRONICLES,040198002158-0-00000-0
3DS,Peleas,29/03/2011,SUPER STREET FIGHTER IV 3D EDITION,013388305025-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,SHIFT 2 UNLEASHED,014633194845-0-00000-0
360,Vehiculos,17/07/2012,SHIFT 2 UNLEASHED LIMITED EDITION,014633194852-0-00000-0
PS3,Accion,27/03/2011,TOMB RAIDER TRILOGY,662248910376-0-00000-0
PSP,Rol/Estrategia/Destreza,22/03/2011,DISSIDIA 012 [DUODECIM] FINAL FANTASY,662248910369-0-00000-0
3DS,Rol/Estrategia/Destreza,27/03/2011,BUST-A-MOVE UNIVERSE,662248910444-0-00000-0
3DS,Aventura,NO CONFIRMADO,SUPER MONKEY BALL 3D,010086611007-0-00000-0
3DS,Vehiculos,NO CONFIRMADO,RIDGE RACER,722674700306-0-00000-0
3DS,Aventura,NO CONFIRMADO,LEGO STAR WARS III THE CLONE WARS,023272342654-0-00000-0
WII,Deportes,29/03/2011,TIGER WOODS PGA TOUR 12 MASTERS,014633195316-0-00000-0
